history_version,modified_time_kst,original_folder,pubspec_version,original_files,original_uncompressed_mb,source_files,source_zip_mb,added_vs_prev,removed_vs_prev,changed_vs_prev,sha256,archive_file
v01,2026-08-15 15:53:22,certi_on_ogq_ultimate,2.0.0+2,251,47.810,58,0.594,58,0,0,583aa094f2addbd3ae1b6378d32f555214e662dbff213ccd86668760861a3d24,v01__certi_on_ogq_ultimate__SOURCE.zip
v02,2026-08-16 00:12:44,certi_on_ogq,1.0.0+1,194,45.812,22,0.079,0,36,9,3a5b7a9eba2a1fb92f3e0b4b9da3e8ff0e1475393a0e906054bf3c626eb19bcd,v02__certi_on_ogq__SOURCE.zip
v03,2026-08-16 01:11:24,certi_on_ogq_ultimate1,2.0.0+2,251,47.812,58,0.595,36,0,9,9b7a27502abaefbbaa479ec2cca5965dc81af4e502142bfa9c3d5c45db03d3e1,v03__certi_on_ogq_ultimate1__SOURCE.zip
v04,2026-08-16 01:16:58,certi_on_ogq_ultimate2,2.0.0+2,252,47.650,58,0.526,0,0,21,91c13c81a1260bcd6eb1f268e253e4b03cdbc7101afc7836fd533bed7f23f669,v04__certi_on_ogq_ultimate2__SOURCE.zip
v05,2026-08-16 01:42:48,certi_on_ogq_ultimate3,2.0.0+2,255,47.753,61,0.541,3,0,11,dbd5cd6d560233971f3a1973f6443598176b3a1ae426e7f6f8b84ea16a7ed37e,v05__certi_on_ogq_ultimate3__SOURCE.zip
v06,2026-08-16 01:51:54,certi_on_ogq_ultimate4,2.0.0+2,241,47.452,47,0.485,0,14,4,5288b89537e1b42c809ed562bb4e880e732f625ddf98efbcd64411196b18185e,v06__certi_on_ogq_ultimate4__SOURCE.zip
v07,2026-08-16 01:59:54,z_real_final_final_final_certi_on_ogq_ai_fixed,2.0.0+2,244,53.950,50,0.489,3,0,4,cdcd6a6866944208ac8cfd015c0becf88236c0f927ac4544dde73a4bd8591138,v07__z_real_final_final_final_certi_on_ogq_ai_fixed__SOURCE.zip
v08,2026-08-16 11:09:16,CERTI_ON_OGQ_FULL_FIXED,2.0.0+2,241,53.960,52,0.490,6,4,7,5a68387c767b7caefe35eb74d21829d5e4d5e5ed1d2d47b1ffdd337ea99d0584,v08__CERTI_ON_OGQ_FULL_FIXED__SOURCE.zip
v09,2026-08-16 11:40:18,CERTI_ON_OGQ_FULL_FIXED_V2,2.0.0+2,240,53.959,51,0.489,3,4,9,f0d5ad8c4cf0b9708b04490fa4cbcc87810910b40f7457310c2947a6ded70c9a,v09__CERTI_ON_OGQ_FULL_FIXED_V2__SOURCE.zip
v10,2026-08-16 12:08:46,CERTI_ON_OGQ_LOCAL_AI_SMART,2.0.0+2,56,0.998,55,0.492,4,0,11,c1d8c64d8417acc5b432eb461fdfe691a1ede5664a95a2e86275ef9c04f738f4,v10__CERTI_ON_OGQ_LOCAL_AI_SMART__SOURCE.zip
v11,2026-08-16 12:14:02,CERTI_ON_OGQ_LOCAL_AI_SMART_V2,2.0.0+2,57,0.998,56,0.492,1,0,7,a01b6305b73c6af44543a0d9da1cf60b59648dd7689ab1eb25b122759eb9f22f,v11__CERTI_ON_OGQ_LOCAL_AI_SMART_V2__SOURCE.zip
v12,2026-08-16 13:27:22,CERTI_ON_OGQ_ORIGINAL_LOCAL_QWEN14B,2.0.0+2,273,54.046,77,0.551,30,9,10,d1b6cc340aa9b17448cb7901f75d9e902b8e7c8ecd9cd4c0d5306c0d8b0265be,v12__CERTI_ON_OGQ_ORIGINAL_LOCAL_QWEN14B__SOURCE.zip
v13,2026-08-16 13:38:06,CERTI_ON_OGQ_QWEN14B_SMART_CHAT_FIXED,2.0.0+2,88,1.081,77,0.552,0,0,3,49dabc1d1d8f597bfe93c5b4e7d771b5aa4d0554079a815b6daf3e5fc5ba57d7,v13__CERTI_ON_OGQ_QWEN14B_SMART_CHAT_FIXED__SOURCE.zip
v14,2026-08-16 13:44:00,CERTI_ON_OGQ_QWEN14B_SMART_CHAT_FIXED_V2,2.0.0+2,122,52.962,79,0.554,2,0,1,21113206551c5ee5a20464641edcaad68a1343a47a131d4e1502dc78ed5ecf94,v14__CERTI_ON_OGQ_QWEN14B_SMART_CHAT_FIXED_V2__SOURCE.zip
v15,2026-08-16 14:03:24,FINAL_ULTIMATE_CERTI_ON_OGQ_AI_MODEL_SELECTOR_NO_TIMEOUT,2.0.0+2,125,52.972,82,0.559,3,0,7,b2ad91fa37c61a76a39d98042c869ea5cc11cd62f101423628ea92278a2c2bfa,v15__FINAL_ULTIMATE_CERTI_ON_OGQ_AI_MODEL_SELECTOR_NO_TIMEOUT__SOURCE.zip
v16,2026-08-16 18:37:54,FINAL_FINAL_ULTIMATE_CERTI_ON_OGQ_STANDALONE_AI_ALL_FIXED,2.1.0+3,48,0.992,47,0.469,12,47,7,ec52a9f0d3aa472d886f4ad49092ef1bd4c08b8c039d2c5d396e2d2f7ca535bf,v16__FINAL_FINAL_ULTIMATE_CERTI_ON_OGQ_STANDALONE_AI_ALL_FIXED__SOURCE.zip
v17,2026-08-16 18:51:06,CERTI_ON_OGQ_STANDALONE_AI_ALL_FIXED_V2,2.1.1+4,50,0.996,49,0.468,2,0,9,4488ad9ce728e5abe69cabf6dd0b6f2fbb52e1ccd096de4b418af5e5598c23e5,v17__CERTI_ON_OGQ_STANDALONE_AI_ALL_FIXED_V2__SOURCE.zip
v18,2026-08-16 19:06:26,CERTI_ON_OGQ_STANDALONE_AI_ALL_FIXED_V3,2.1.2+5,52,0.999,51,0.470,3,1,10,538b69e00fac7c08a37903d2bebc38b6c2dacd41d174e4bda3bbe8005aa57d9b,v18__CERTI_ON_OGQ_STANDALONE_AI_ALL_FIXED_V3__SOURCE.zip
v19,2026-08-16 19:23:58,CERTI_ON_OGQ_STANDALONE_AI_ALL_FIXED_V4,2.1.3+6,56,1.011,55,0.475,4,0,7,1a2149836b1b6eac0f663cb34f88d7b9ed29a3b3fc14366a8f94286231bbc21b,v19__CERTI_ON_OGQ_STANDALONE_AI_ALL_FIXED_V4__SOURCE.zip
v20,2026-08-16 19:37:08,CERTI_ON_OGQ_STANDALONE_AI_ALL_FIXED_V5,2.1.4+7,59,1.022,58,0.480,4,1,4,4764539aa5fc2d5bc00587e1d83744d517f4a83190f1dbcee805e61ce2e57eb5,v20__CERTI_ON_OGQ_STANDALONE_AI_ALL_FIXED_V5__SOURCE.zip
v21,2026-08-16 19:42:04,CERTI_ON_OGQ_STANDALONE_AI_ALL_FIXED_V6,2.1.4+7,63,1.030,62,0.484,4,0,5,7a26084446f16219c5051fc50594dfb615f6feed205b1b26c430ce857c71054b,v21__CERTI_ON_OGQ_STANDALONE_AI_ALL_FIXED_V6__SOURCE.zip
v22,2026-08-16 20:07:34,CERTI_ON_OGQ_STANDALONE_AI_ALL_FIXED_V7,2.1.4+7,66,1.037,65,0.487,3,0,5,9d8144b1232748be6170f7d210f1d120016ebf3c333cb8aa5e724090d28345a7,v22__CERTI_ON_OGQ_STANDALONE_AI_ALL_FIXED_V7__SOURCE.zip
v23,2026-08-16 20:42:02,CERTI_ON_OGQ_STANDALONE_AI_ALL_FIXED_V8,2.1.4+7,71,1.047,70,0.492,5,0,6,06bd647ec35bfc8edb914317eb688e92f5176ad8fb7a6c685baf7360ba888753,v23__CERTI_ON_OGQ_STANDALONE_AI_ALL_FIXED_V8__SOURCE.zip
v24,2026-08-16 21:09:12,CERTI_ON_OGQ_STANDALONE_AI_ALL_FIXED_V9,2.2.0+9,35,0.894,35,0.458,4,39,5,593953ad21fc32471885348da3683c23afcc3e6fdf01f75f07c5267e8e688bd5,v24__CERTI_ON_OGQ_STANDALONE_AI_ALL_FIXED_V9__SOURCE.zip
